categories,id_event,id_location,indirizzo,latitude,longitude,nome,num_events,data,ora_inizio,ora_fine
"Arte,Product Design",1061,264,Via Matteo Bandello 14,45.463997799999994,9.1674966,Spazio rossana orlandi,2,2016-04-14,10:30:00,19:30:00
"Arte,Product Design",1061,264,Via Matteo Bandello 14,45.463997799999994,9.1674966,Spazio rossana orlandi,2,2016-04-15,10:30:00,19:30:00
"Arte,Product Design",1061,264,Via Matteo Bandello 14,45.463997799999994,9.1674966,Spazio rossana orlandi,2,2016-04-16,10:30:00,19:30:00
"Arte,Product Design",1061,264,Via Matteo Bandello 14,45.463997799999994,9.1674966,Spazio rossana orlandi,2,2016-04-17,10:30:00,19:30:00
"Arredo,Illuminazione,Living,Product Design",920,264,Via Matteo Bandello 14,45.463997799999994,9.1674966,Spazio rossana orlandi,2,2016-04-12,09:00:00,20:00:00
"Arredo,Illuminazione,Living,Product Design",920,264,Via Matteo Bandello 14,45.463997799999994,9.1674966,Spazio rossana orlandi,2,2016-04-13,09:00:00,20:00:00
"Arredo,Illuminazione,Living,Product Design",920,264,Via Matteo Bandello 14,45.463997799999994,9.1674966,Spazio rossana orlandi,2,2016-04-14,09:00:00,20:00:00
"Arredo,Illuminazione,Living,Product Design",920,264,Via Matteo Bandello 14,45.463997799999994,9.1674966,Spazio rossana orlandi,2,2016-04-15,09:00:00,20:00:00
"Arredo,Illuminazione,Living,Product Design",920,264,Via Matteo Bandello 14,45.463997799999994,9.1674966,Spazio rossana orlandi,2,2016-04-16,09:00:00,20:00:00
"Arredo,Illuminazione,Living,Product Design",920,264,Via Matteo Bandello 14,45.463997799999994,9.1674966,Spazio rossana orlandi,2,2016-04-17,09:00:00,20:00:00
"Architettura,Materiali speciali,Product Design",595,287,"Via Palermo, 8",45.4753179,9.1851803,Falegnameria Cavalleroni,1,2016-04-12,18:00:00,22:00:00
"Architettura,Materiali speciali,Product Design",595,287,"Via Palermo, 8",45.4753179,9.1851803,Falegnameria Cavalleroni,1,2016-04-13,10:00:00,22:00:00
"Moda,Giochi, giocattoli,Product Design",1244,344,Corso Matteotti 14,45.4669201,9.1954899,Moroni gomma,1,2016-04-12,10:00:00,20:00:00
"Moda,Giochi, giocattoli,Product Design",1244,344,Corso Matteotti 14,45.4669201,9.1954899,Moroni gomma,1,2016-04-13,10:00:00,20:00:00
"Moda,Giochi, giocattoli,Product Design",1244,344,Corso Matteotti 14,45.4669201,9.1954899,Moroni gomma,1,2016-04-14,10:00:00,20:00:00
"Moda,Giochi, giocattoli,Product Design",1244,344,Corso Matteotti 14,45.4669201,9.1954899,Moroni gomma,1,2016-04-15,10:00:00,20:00:00
"Moda,Giochi, giocattoli,Product Design",1244,344,Corso Matteotti 14,45.4669201,9.1954899,Moroni gomma,1,2016-04-16,10:00:00,20:00:00
"Moda,Giochi, giocattoli,Product Design",1244,344,Corso Matteotti 14,45.4669201,9.1954899,Moroni gomma,1,2016-04-17,10:00:00,20:00:00
Arredo,1248,371,"Via Durini, 15",45.4644658,9.197994,Porroduriniquindici,1,2016-04-12,10:00:00,21:00:00
