id_event,latitude,longitude,cluster
1659,45.45337960000001,9.1678477,0
1341,45.4644041,9.1811545,13
1047,45.4766103,9.1953404,-7
1189,45.4766103,9.1953404,-7
1107,45.4766103,9.1953404,-7
1590,45.465701,9.1716484,-7
67,45.4498529,9.1798717,-7
1577,45.461758,9.209307,-6
1610,45.461758,9.209307,-6
1570,45.461758,9.209307,-6
1031,45.461758,9.209307,-6
1454,45.4716661,9.2022398,-6
1137,45.4716661,9.2022398,-6
1055,45.480204,9.22692,-8
1609,45.46416110000001,9.1903357,-7
620,45.479739,9.1941237,-7
1072,45.4618109,9.1867816,-7
89,45.4518696,9.156274,-7
47,45.4518696,9.156274,-7
924,45.48637700000001,9.15784,-8
1301,45.43815410000001,9.2059908,-6
1238,45.466195,9.206869,-6
606,45.466195,9.206869,-6
1348,45.450964,9.211446,-6
1568,45.450964,9.211446,-6
249,45.476782,9.21489,-5
1076,45.443333,9.185669,-8
1619,45.463174,9.211163,-6
1147,45.494598,9.182942,-4
1509,45.467622,9.21405,-6
681,45.484065,9.18846,-7
1307,45.46612800000001,9.189982,-7
75,45.490225,9.169327,-8
1315,45.4826862,9.248967,-8
1439,45.448722,9.1610106,-7
1136,45.467094,9.181602,-7
105,45.490994,9.18791,-4
541,45.46571,9.17133,-7
1044,45.5041898,9.1641302,-3
93,45.5041898,9.1641302,-3
935,45.4781325,9.2127824,-5
1034,45.4502961,9.1522507,-7
1122,45.4451534,9.1503078,-7
1614,45.4521318,9.2142727,-6
1611,45.4646799,9.1907397,-7
246,45.4810742,9.1711028,-2
1369,45.4587901,9.1768686,-7
36,45.4789911,9.1790435,-2
1041,45.483798,9.174087,-2
866,45.4788808,9.242973,-8
873,45.4788808,9.242973,-8
1360,45.4906783,9.2207239,-1
973,45.4811105,9.1559544,-2
580,45.4811105,9.1559544,-2
1103,45.483241,9.23597,-8
1583,45.4513327,9.203064,-6
894,45.480216,9.2028765,-7
1003,45.4577689,9.1720783,-7
1311,45.4836427,9.1719997,-2
1042,45.49436,9.1866602,-4
1069,45.46863,9.2042,-6
